FILE ID,Original File & Data Set,Media Link,Notes,File Type,Raw Creation Data,Creation Date & Time,Duration,Coordinates,Street,City,Country,Has Media Link,Has Notes,Has Created Date,Raw Metadata
EFTA01683424,EFTA01683424.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683424.mp4,"Seemingly underage girl in black sweats, blue USA pullover, playing with white dog on white carpet next to wooden coffee table. Dog begins humping girl from behind for several seconds. Final frames show white male,dark hair thinning on top, glasses,  40-50yrs old, jeans/denim button down, laughing.",mp4,,,00:00:51.80,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:51.80, start: 0.000000, bitrate: 928 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 540x960, 920 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 1 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683320,EFTA01683320.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683320.mp4,"Appears to be camcorder video, mounted on arm of carnival ride, 2 females in frame, unknown age. Dim, no color, no sound; 2:44:11 but appears blank from the 00:01:50 mark until blue screen final frame.",mp4,,,02:44:11.97,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 02:44:11.97, start: 0.000000, bitrate: 138 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 7 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](eng): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 124 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683455,EFTA01683455.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683455.mp4,"0:02, Female unkown age, sitting outside shop/restaurant in affluent area, black sleeveless top and black pants, sitting, holding sunglasses in right hand. ",mp4,,,00:00:02.53,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:02.53, start: 0.000000, bitrate: 1494 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 1413 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 70 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683412,EFTA01683412.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683412.mp4,"0:02, inside upscale vehicle, tan interior, black curtain on window, black wrist brace seen on what appears to be young female's hand holding black purse. Male adult voice heard but unable to make out what's said. ",mp4,,,00:00:02.95,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:02.95, start: 0.000000, bitrate: 954 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 885 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 63 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683535,EFTA01683535.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683535.mp4,"0:15, video taken in mirror of young, blonde female in light colored underwear and cropped white tee. Only background noises heard. ",mp4,,,00:00:15.00,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:15.00, start: 0.000000, bitrate: 781 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 720x1280, 704 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 69 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683358,EFTA01683358.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683358.mp4,"1:36, young female, stretching or yoga maybe, blond ponytail, black sports bra, background noise heard until female completes routine and walks to pick up camera, sound is cut while she speaks except for ""guys"" heard in last frame.",mp4,,,00:01:36.99,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:01:36.99, start: 0.000000, bitrate: 201 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 480x272, 78 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, s16, 116 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683496,EFTA01683496.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683496.mp4,"0:40, appears to be public setting, several well-dressed women sitting with microphones, one stands in front. One female seen in full on left side of redaction box, otherwise only feet/legs seen. No males seen. No sound.",mp4,,,00:00:40.08,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:40.08, start: 0.000000, bitrate: 912 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 720x1280, 904 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 1 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01688339,EFTA01688339.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01688339.mp4,"0:35, recording of computer screen playing clip of Maxwell depo dated 4/22/15 timestamped 14:54:33 - final frame shows video end on VLC media logo, male sillhouette/shadow seen on black screen.",mp4,,,00:00:35.71,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:35.71, start: 0.000000, bitrate: 383 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(tv, bt709, progressive), 568x320, 307 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : Core Media Video
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 68 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01682127,EFTA01682127.pdf - DataSet 10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682127.m4a,Voicemail from female wanting to report on Epstein for recruitment of minor around 2011,m4a,,,00:00:50.92,,,,,checked,checked,,"  Metadata:
    major_brand     : M4A 
    minor_version   : 512
    compatible_brands: M4A isomiso2
    encoder         : Lavf62.3.100
  Duration: 00:00:50.92, start: 0.000000, bitrate: 128 kb/s
  Stream #0:0[0x1](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, s16, 126 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683444,EFTA01683444.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683444.mp4,"Repeat of EFTA01683455 but with sound. Male voice heard, unable to make out what's said.",mp4,2026-01-27 22:25,2026-01-28 05:25,00:00:02.81,,,,,checked,checked,checked,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2026-01-27T22:25:36.000000Z
  Duration: 00:00:02.81, start: 0.000000, bitrate: 2672 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Main) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 2616 kb/s, 29.35 fps, 29 tbr, 29k tbn (default)
    Metadata:
      creation_time   : 2026-01-27T22:25:36.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (mp4a / 0x6134706D), 44100 Hz, 1 channels, s16, 64 kb/s (default)
    Metadata:
      creation_time   : 2026-01-27T22:25:36.000000Z
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA01683533,EFTA01683533.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683533.mp4,"0:39, selfie video of young blond female, appears very thin, Lana Del Rey song 'Cherry' playing in background.",mp4,,,00:00:39.51,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:39.51, start: 0.000000, bitrate: 490 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 488x960, 413 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 69 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
EFTA01683388,EFTA01683388.pdf - DataSet 10,justice.gov/epstein/files/DataSet 10/EFTA01683388.mp4,"0:02, appears to be on island, outdoor furniture under tiki hut roof, legs of young person seen sitting on left, various beverages seen on table.",mp4,,,00:00:02.80,,,,,checked,checked,,"  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.76.100
  Duration: 00:00:02.80, start: 0.000000, bitrate: 2312 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (High) (avc1 / 0x31637661), yuv420p(progressive), 1080x1440, 2232 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 70 kb/s (default)
    Metadata:
      handler_name    : Core Media Audio
      vendor_id       : [0][0][0][0]"
