FILE ID,Media Link,Notes,File Type,Raw Creation Data,Duration,Raw Metadata
EFTA00010707,https://www.justice.gov/epstein/files/DataSet%208/EFTA00010707.mp4,Prison CCTV possibly hallway of Epstein cell ,mp4,,,"[mov,mp4,m4a,3gp,3g2,mj2 @ 0xa0004cac0] moov atom not found
all_natives_epstein/EFTA00010707.mp4: Invalid data found when processing input"
EFTA00014716,https://www.justice.gov/epstein/files/DataSet%208/EFTA00014716.m4a,Prison CCTV possibly hallway of Epstein cell ,m4a,,00:31.4,"  Metadata:
    major_brand     : M4A
    minor_version   : 512
    compatible_brands: M4A isomiso2
    encoder         : Lavf62.3.100
  Duration: 00:00:31.36, start: 0.000000, bitrate: 124 kb/s
  Stream #0:0[0x1](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, s16, 122 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00015032,https://www.justice.gov/epstein/files/DataSet%208/EFTA00015032.xlsx,Serial Export Manifest,xlsx,,,
EFTA00015920,https://www.justice.gov/epstein/files/DataSet%208/EFTA00015920.m4a,Phone call likely communications between investigators,m4a,,00:35.5,"  Metadata:
    major_brand     : M4A
    minor_version   : 512
    compatible_brands: M4A isomiso2
    encoder         : Lavf62.3.100
  Duration: 00:00:35.46, start: 0.000000, bitrate: 70 kb/s
  Stream #0:0[0x1](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 44100 Hz, mono, s16, 69 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00016155,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016155.xlsx,RFP/TO Title: US v Maxwell Epstein Scanning - USAO SDNY,xlsx,,,
EFTA00016339,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016339.csv,Massive fully redacted sheet Redacted why???,csv,,,
EFTA00016340,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016340.csv,Massive sheet with 4726 redactions for what reason DOJ?!,csv,,,
EFTA00018595,https://www.justice.gov/epstein/files/DataSet%208/EFTA00018595.xlsx,Seized Device Record NYPD,xlsx,,,
EFTA00019180,https://www.justice.gov/epstein/files/DataSet%208/EFTA00019180.xls,List of Massage Details for Claifornia and Paris redacted WHY?,xls,,,
EFTA00019181,https://www.justice.gov/epstein/files/DataSet%208/EFTA00019181.xls,"List of Property services for California, New Mexico and The Island",xls,,,
EFTA00020242,https://www.justice.gov/epstein/files/DataSet%208/EFTA00020242.xlsx,List of Representitives for Epstein Underage Victims ,xlsx,,,
EFTA00021326,https://www.justice.gov/epstein/files/DataSet%208/EFTA00021326.m4a,Tip for NY Prossecutors Office ,m4a,,00:28.6,"  Metadata:
    major_brand     : M4A
    minor_version   : 512
    compatible_brands: M4A isomiso2
    encoder         : Lavf62.3.100
  Duration: 00:00:28.63, start: 0.000000, bitrate: 120 kb/s
  Stream #0:0[0x1](und): Audio: aac (libfdk_aac) (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, s16, 118 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]"
EFTA00023539,https://www.justice.gov/epstein/files/DataSet%208/EFTA00023539.xlsx,Assistnat US Attorney Supoena Charts,xlsx,,,
EFTA00024809,https://www.justice.gov/epstein/files/DataSet%208/EFTA00024809.xlsx,SDNY File logs,xlsx,,,
EFTA00024813,https://www.justice.gov/epstein/files/DataSet%208/EFTA00024813.xlsx,FBI Evidence Logs ,xlsx,,,
EFTA00028842,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028842.mp4,Faked Epstein Death Video - Associated email found here https://www.justice.gov/epstein/files/DataSet%208/EFTA00028840.pdf,mp4,,,"[mov,mp4,m4a,3gp,3g2,mj2 @ 0xa0004cac0] moov atom not found
all_natives_epstein/EFTA00028842.mp4: Invalid data found when processing input"
EFTA00028983,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028983.mp3,News Report on Epstein,mp3,,00:56.3,"  Duration: 00:00:56.32, start: 0.000000, bitrate: 127 kb/s
  Stream #0:0: Audio: mp3 (mp3float), 44100 Hz, stereo, fltp, 128 kb/s"
EFTA00029272,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029272.xlsx,Appears to be early Victim catelogue,xlsx,,,
EFTA00029480,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029480.xlsx,Appears to be early Victim catelogue,xlsx,,,
EFTA00029995,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029995.mp4,Prison CCTV day of death,mp4,2019-09-18 19:43,00:21.2,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2019-09-18T19:43:09.000000Z
  Duration: 00:00:21.23, start: 0.000000, bitrate: 2047 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Baseline) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 2043 kb/s, 120 fps, 120 tbr, 30k tbn (default)
    Metadata:
      creation_time   : 2019-09-18T19:43:09.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding"
EFTA00029996,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029996.mp4,Prison CCTV day of death,mp4,2019-09-18 19:43,00:08.1,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2019-09-18T19:43:23.000000Z
  Duration: 00:00:08.13, start: 0.000000, bitrate: 2260 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Baseline) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 2255 kb/s, 120 fps, 120 tbr, 30k tbn (default)
    Metadata:
      creation_time   : 2019-09-18T19:43:23.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding"
EFTA00029997,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997.mp4,Prison CCTV day of death,mp4,2019-09-18 19:43,00:17.8,"  Metadata:
    major_brand     : mp42
    minor_version   : 0
    compatible_brands: mp41isom
    creation_time   : 2019-09-18T19:43:34.000000Z
  Duration: 00:00:17.80, start: 0.000000, bitrate: 2128 kb/s
  Stream #0:0[0x1](und): Video: h264 (libopenh264) (Baseline) (avc1 / 0x31637661), yuv420p(progressive), 352x240, 2124 kb/s, 120 fps, 120 tbr, 30k tbn (default)
    Metadata:
      creation_time   : 2019-09-18T19:43:34.000000Z
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : AVC Coding"
