Target Name,Date of case taken,Case researcher(s),Completion status
Donald John Trump,02/24/2026,benn8901,incomplete
Bill Gates,02/25/2026,redbonemillennial,incomplete
Elon Musk,02/25/2026,redbonemillennial,incomplete
Leonardo DiCaprio,,,
George Bush,,,
Bill Clinton,,,
Prince Andrew,02/25/2026,mairo4837,complete
Woody Allen,,,
Bruce Willis,,,
Cameron Diaz,,,
Kevin Spacey,02/25/2026,mairo4837,complete
Mick Jagger,,,
George Lucas,,,
Tony Blair,,,
John Kerry,,,
Alex Acosta,02/27/2026,benn8901,incomplete
Howard Lutnick,02/27/2026,benn8901,incomplete
Ted Kennedy,,,
Michael Bloomberg,,,
Lynn Rothschild,,,
Minnie Driver,,,
Peter Dalglish,,,
Taieb Fassi Fihri,,,
Hamad Bin Jussin,,,
Abdullah Bin Zayed,,,
Saad Hariri,02/25/2026,mairo4837,incomplete
Ahmed Aboul Gheit,,,
Alan Dershowitz,02/27/2026,benn8901,incomplete
Andrew Cuomo,,,
Phil Collins,,,
Larry Summers,02/24/2026,redbonemillennial,complete
Ehud Barak,,,
Leon Black,02/26/2026,lisa1121_,incomplete
Les Wexner,02/25/2026,connorfornes,incomplete
Glenn Dublin,,,
Peter Mandelson,,,
Khalid Bin Ahmed Al Khalif,,,
Makhdoom Shah Mahmood,,,
Henry Odein Aiumoqobia,02/24/2026,redbonemillennial,complete
